Features;OoO-N-10;OoO-N-20;OoO-N-30;OoO-N-40;OoO-N-50;OoO-N-60;OoO-N-70;OoO-N-80;OoO-N-90;OoO-N-100;OoO-N-200;OoO-N-300;OoO-S1-10;OoO-S1-20;OoO-S1-30;OoO-S1-40;OoO-S1-50;OoO-S1-60;OoO-S1-70;OoO-S1-80;OoO-S1-90;OoO-S1-100;OoO-S1-200;OoO-S2-10;OoO-S2-20;OoO-S2-30;OoO-S2-40;OoO-S2-50;OoO-S2-60;OoO-S2-70;OoO-S2-80;OoO-S2-90;OoO-S2-100;OoO-S2-200;OoO-S2-300;OoO-S3-10;OoO-S3-20;OoO-S3-30;OoO-S3-40;OoO-S3-50;OoO-S3-60;OoO-S3-70;OoO-S3-80;OoO-S3-90;OoO-S3-100;OoO-S3-200;OoO-S3-300
system.cpu.exec_context.thread_0.notIdleFraction;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
system.cpu.exec_context.thread_0.idleFraction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.numBranches;89447443;128647539;167847661;207047769;246247859;285447978;328855102;368055218;407255334;446455445;846870637;1243078758;76821508;116021826;155221544;194421926;233621886;272822327;316229201;355429047;394629275;433829508;834244367;77953622;118410775;158867800;199324934;239782136;280238292;324902232;365357392;405813464;446270925;859237168;1357831712;204200397;243400493;282600615;321800723;361000813;400200932;443608056;282600615;522008288;561208399;961623591;1357831712
system.cpu.exec_context.thread_0.statExecutedInstType::No_OpClass;7192372;7192422;7192472;7192523;7192573;7192623;7193076;7193126;7193176;7193226;7194532;7195437;5301877;5301963;5301949;5302044;5302074;5302168;5302589;5302591;5302661;5302727;5303981;5470857;5658505;5846137;6033786;6221446;6408930;6596941;6784269;6971729;7159425;9033591;24376737;24373672;24373722;24373772;24373823;24373873;24373923;24374376;24373772;24374476;24374526;24375832;24376737
system.cpu.exec_context.thread_0.statExecutedInstType::IntAlu;1410505302;2482759460;3555013751;4627267972;5699522083;6771776354;7876771936;8949026196;10021280456;11093534714;21881560090;32636843768;1321756560;2394012193;3466263756;4538519810;5610773026;6683029674;7788023348;8860275936;9932530887;11004786065;21792809144;1329731228;2410841089;3491949807;4573059373;5654169470;6735272633;7849122350;8930218759;10011321687;11092433543;21968884298;33443470800;2217132334;3289386492;4361640783;5433895004;6506149115;7578403386;8683398968;4361640783;10827907488;11900161746;22688187122;33443470800
system.cpu.exec_context.thread_0.statExecutedInstType::IntMult;486878;886878;1286878;1686878;2086878;2486878;2886938;3286938;3686938;4086940;8087062;12087123;401232;801219;1201239;1601224;2001229;2401230;2801284;3201310;3601299;4001303;8001437;410866;821670;1232462;1643255;2054049;2464910;2875791;3286698;3697590;4108375;8217504;12867993;1267748;1667748;2067748;2467748;2867748;3267748;3667808;2067748;4467808;4867810;8867932;12867993
system.cpu.exec_context.thread_0.statExecutedInstType::IntDiv;41723;41723;41723;41730;41730;41730;41814;41814;41814;41814;41982;42080;2222;2222;2222;2229;2229;2229;2313;2313;2313;2313;2481;5813;9803;13793;17790;21780;25770;29844;33834;37824;41814;81882;401180;400823;400823;400823;400830;400830;400830;400914;400823;400914;400914;401082;401180
system.cpu.exec_context.thread_0.statExecutedInstType::FloatAdd;800330508;1546897778;2293465048;3040032318;3786599588;4533166858;5306535716;6053102986;6799670256;7546237526;15065513402;22557987690;800172504;1546739774;2293307044;3039874314;3786441584;4533008854;5306377712;6052944982;6799512252;7546079522;15065355398;800186868;1546770098;2293353328;3039936558;3786519788;4533103018;5306487836;6053071066;6799654296;7546237526;15065673002;22559424090;801766908;1548334178;2294901448;3041468718;3788035988;4534603258;5307972116;2294901448;6801106656;7547673926;15066949802;22559424090
system.cpu.exec_context.thread_0.statExecutedInstType::FloatCmp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::FloatCvt;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
